norm_id;stofnaam;casnummer;aquocode;categorie;compartiment;norm;waarde;eenheid;compartimentcode;compartimentomschrijving;grootheidcode;grootheidomschrijving;hoedanigheidcode;hoedanigheidomschrijving;waardebewerkingsmethodecode;waardebewerkingsmethodeomschrijving
10535;kwikverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (opgelost);0,00007;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
10536;kwikverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk MAC-MKN (opgelost);0,07;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10537;kwikverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk JG-MKN (opgelost);0,00007;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
10538;kwikverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk MAC-MKN (opgelost);0,07;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10550;cadmiumverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (opgelost);zie onder i;;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
10551;cadmiumverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk MAC-MKN (opgelost);zie onder i;;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10552;cadmiumverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk JG-MKN (opgelost);0,2;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
10553;cadmiumverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk MAC-MKN (opgelost);zie onder i;;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10556;dichlooranilines som;;;Milieu;Grondwater;Grondwater indicatief niveau voor ernstige verontreiniging (opgelost);100;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
10562;bronopol;52-51-7;bronpl;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);0,2;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
10739;2,3,5-trichlooraniline;18487-39-3;235TClAn;Milieu;Oppervlaktewater zoet;log Kp l/kg (zwevend stof);2,15;;OW;Oppervlaktewater;NVT;Niet van toepassing;NVT;Niet van toepassing;NVT;Niet van toepassing
10740;2,3,5-trichlooraniline;18487-39-3;235TClAn;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MTR (opgelost);6;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
10741;2,3,5-trichlooraniline;18487-39-3;235TClAn;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MTR (totaal);6;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;P90;90-Percentiel
10742;2,3,5-trichlooraniline;18487-39-3;235TClAn;Milieu;Sediment;Sediment MTR (droge stof);420;µg/kg;BS;Bodem/Sediment;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;;
10743;nitraten;;;Milieu;Grondwater;Omgevingswaarde voor krw-verontreinigende stoffen (opgelost);50;µg/l;;;;;;;;
10744;bestrijdingsmiddelen;;;Milieu;Oppervlaktewater voor drinkwaterbereiding;Oppervlaktewater voor drinkwaterbereiding (gericht op waterbeheerder);0,1;µg/l;;;;;;;;
